Experiment: 20241009_iDEC_PANCE2_Day3  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	32.13		0	
True	255	A2	Sample 2	32.43		0	
True	255	A3	Sample 3	29.00		0	
True	255	A4	Sample 4	32.65		0	
True	255	A5	Sample 5	31.47		0	
True	255	A6	Sample 6	30.41		0	
True	255	A7	Sample 7	31.81		0	
True	255	A8	Sample 8	29.76		0	
True	255	A9	Sample 9	20.36		0	
True	255	A10	Sample 10	20.53		0	
True	255	A11	Sample 11	20.43		0	
True	255	A12	Sample 12	20.22		0	
True	255	A13	Sample 13	31.84		0	
True	255	A14	Sample 14	31.69		0	
True	255	A15	Sample 15	32.85		0	
True	255	A16	Sample 16	32.47		0	
True	255	A17	Sample 17	30.88		0	
True	255	A18	Sample 18	30.10		0	
True	255	A19	Sample 19	31.23		0	
True	255	A20	Sample 20	29.55		0	
True	255	A21	Sample 21	14.67		0	
True	255	A22	Sample 22	14.51		0	
True	255	A23	Sample 23	14.59		0	
True	255	A24	Sample 24	14.48		0	
True	255	B1	Sample 25	30.94		0	
True	255	B2	Sample 26	31.09		0	
True	255	B3	Sample 27	31.97		0	
True	255	B4	Sample 28	31.21		0	
True	255	B5	Sample 29	32.80		0	
True	255	B6	Sample 30	32.87		0	
True	255	B7	Sample 31	32.87		0	
True	255	B8	Sample 32	32.70		0	
True	255	B9	Sample 33	22.32		0	
True	255	B10	Sample 34	22.17		0	
True	255	B11	Sample 35	25.71		0	
True	255	B12	Sample 36	25.82		0	
True	255	B13	Sample 37	32.43		0	
True	255	B14	Sample 38	30.96		0	
True	255	B15	Sample 39	31.19		0	
True	255	B16	Sample 40	30.27		0	
True	255	B17	Sample 41	31.99		0	
True	255	B18	Sample 42	33.19		0	
True	255	B19	Sample 43	32.55		0	
True	255	B20	Sample 44	32.85		0	
True	255	B21	Sample 45	15.96		0	
True	255	B22	Sample 46	17.21		0	
True	255	B23	Sample 47	16.56		0	
True	255	B24	Sample 48	15.71		0	
True	255	C1	Sample 49	31.71		0	
True	255	C2	Sample 50	31.91		0	
True	255	C3	Sample 51	32.46		0	
True	255	C4	Sample 52	32.42		0	
True	255	C5	Sample 53	32.18		0	
True	255	C6	Sample 54	31.99		0	
True	255	C7	Sample 55	32.11		0	
True	255	C8	Sample 56	31.99		0	
True	255	C9	Sample 57	28.01		0	
True	255	C10	Sample 58	27.36		0	
True	255	C11	Sample 59	25.03		0	
True	255	C12	Sample 60	24.89		0	
True	255	C13	Sample 61	32.84		0	
True	255	C14	Sample 62	33.09		0	
True	255	C15	Sample 63	32.76		0	
True	255	C16	Sample 64	32.88		0	
True	255	C17	Sample 65	33.12		0	
True	255	C18	Sample 66	33.15		0	
True	255	C19	Sample 67	32.86		0	
True	255	C20	Sample 68	31.79		0	
True	255	C21	Sample 69	18.34		0	
True	255	C22	Sample 70	18.12		0	
True	255	C23	Sample 71	19.54		0	
True	255	C24	Sample 72	19.75		0	
True	255	D1	Sample 73	32.73		0	
True	255	D2	Sample 74	31.87		0	
True	255	D3	Sample 75	32.89		0	
True	255	D4	Sample 76	32.87		0	
True	255	D5	Sample 77	31.90		0	
True	255	D6	Sample 78	31.27		0	
True	255	D7	Sample 79	32.44		0	
True	255	D8	Sample 80	32.97		0	
True	255	D9	Sample 81	32.48		0	
True	255	D10	Sample 82	32.78		0	
True	255	D11	Sample 83	32.69		0	
True	255	D12	Sample 84	32.70		0	
True	255	D13	Sample 85	32.94		0	
True	255	D14	Sample 86	32.47		0	
True	255	D15	Sample 87	32.75		0	
True	255	D16	Sample 88	32.51		0	
True	255	D17	Sample 89	32.16		0	
True	255	D18	Sample 90	32.79		0	
True	255	D19	Sample 91	33.17		0	
True	255	D20	Sample 92	32.93		0	
True	255	D21	Sample 93	32.42		0	
True	255	D22	Sample 94	32.27		0	
True	255	D23	Sample 95	28.87		0	
True	255	D24	Sample 96	32.52		0	
True	255	E1	Sample 97	31.68		0	
True	255	E2	Sample 98	31.97		0	
True	255	E3	Sample 99	27.13		0	
True	255	E4	Sample 100	32.64		0	
True	255	E5	Sample 101	32.52		0	
True	255	E6	Sample 102	32.91		0	
True	255	E7	Sample 103	28.95		0	
True	255	E8	Sample 104	31.07		0	
True	255	E9	Sample 105	33.55		0	
True	255	E10	Sample 106	33.74		0	
True	255	E11	Sample 107	31.61		0	
True	255	E12	Sample 108	31.21		0	
True	255	E13	Sample 109	32.79		0	
True	255	E14	Sample 110	32.73		0	
True	255	E15	Sample 111	33.60		0	
True	255	E16	Sample 112	33.05		0	
True	255	E17	Sample 113	32.28		0	
True	255	E18	Sample 114	31.79		0	
True	255	E19	Sample 115	26.42		0	
True	255	E20	Sample 116	26.19		0	
True	255	E21	Sample 117	31.04		0	
True	255	E22	Sample 118	30.20		0	
True	255	E23	Sample 119	33.78		0	
True	255	E24	Sample 120	33.89		0	
True	255	F1	Sample 121	32.82		0	
True	255	F2	Sample 122	31.99		0	
True	255	F3	Sample 123	32.68		0	
True	255	F4	Sample 124	33.00		0	
True	255	F5	Sample 125	26.24		0	
True	255	F6	Sample 126	26.53		0	
True	255	F7	Sample 127	31.12		0	
True	255	F8	Sample 128	29.67		0	
True	255	F9	Sample 129	33.13		0	
True	255	F10	Sample 130	33.02		0	
True	255	F11	Sample 131	32.14		0	
True	255	F12	Sample 132	32.32		0	
True	255	F13	Sample 133	33.09		0	
True	255	F14	Sample 134	32.60		0	
True	255	F15	Sample 135	32.69		0	
True	255	F16	Sample 136	32.60		0	
True	255	F17	Sample 137	21.49		0	
True	255	F18	Sample 138	21.63		0	
True	255	F19	Sample 139	23.50		0	
True	255	F20	Sample 140	23.67		0	
True	255	F21	Sample 141	33.57		0	
True	255	F22	Sample 142	33.20		0	
True	255	F23	Sample 143	32.41		0	
True	255	F24	Sample 144	32.78		0	
True	255	G1	Sample 145	32.99		0	
True	255	G2	Sample 146	34.05		0	
True	255	G3	Sample 147	29.31		0	
True	255	G4	Sample 148	32.83		0	
True	255	G5	Sample 149	33.54		0	
True	255	G6	Sample 150	33.15		0	
True	255	G7	Sample 151	32.43		0	
True	255	G8	Sample 152	33.27		0	
True	255	G9	Sample 153	25.47		0	
True	255	G10	Sample 154	25.46		0	
True	255	G11	Sample 155	25.74		0	
True	255	G12	Sample 156	26.22		0	
True	255	G13	Sample 157	32.90		0	
True	255	G14	Sample 158	33.69		0	
True	255	G15	Sample 159	31.99		0	
True	255	G16	Sample 160	32.61		0	
True	255	G17	Sample 161	33.47		0	
True	255	G18	Sample 162	33.48		0	
True	255	G19	Sample 163	33.48		0	
True	255	G20	Sample 164	32.99		0	
True	255	G21	Sample 165	17.02		0	
True	255	G22	Sample 166	16.89		0	
True	255	G23	Sample 167	18.34		0	
True	255	G24	Sample 168	18.03		0	
True	255	H1	Sample 169	25.03		0	
True	255	H2	Sample 170	25.55		0	
True	255	H3	Sample 171	25.78		0	
True	255	H4	Sample 172	26.63		0	
True	255	H5	Sample 173	22.88		0	
True	255	H6	Sample 174	22.48		0	
True	255	H7	Sample 175	19.63		0	
True	255	H8	Sample 176	19.59		0	
True	255	H9	Sample 177	28.71		0	
True	255	H10	Sample 178	27.03		0	
True	255	H11	Sample 179	27.55		0	
True	255	H12	Sample 180	29.47		0	
True	255	H13	Sample 181	16.92		0	
True	255	H14	Sample 182	16.84		0	
True	255	H15	Sample 183	16.57		0	
True	255	H16	Sample 184	16.55		0	
True	255	H17	Sample 185	14.58		0	
True	255	H18	Sample 186	14.48		0	
True	255	H19	Sample 187	15.94		0	
True	255	H20	Sample 188	16.06		0	
True	255	H21	Sample 189	18.08		0	
True	255	H22	Sample 190	18.29		0	
True	255	H23	Sample 191	18.83		0	
True	255	H24	Sample 192	19.01		0	
True	65280	I1	Sample 193			0	
True	65280	I2	Sample 194			0	
True	65280	I3	Sample 195			0	
True	65280	I4	Sample 196			0	
True	65280	I5	Sample 197			0	
True	65280	I6	Sample 198			0	
True	65280	I7	Sample 199			0	
True	65280	I8	Sample 200			0	
True	65280	I9	Sample 201			0	
True	65280	I10	Sample 202			0	
True	65280	I11	Sample 203			0	
True	65280	I12	Sample 204			0	
True	65280	I13	Sample 205			0	
True	65280	I14	Sample 206			0	
True	65280	I15	Sample 207			0	
True	65280	I16	Sample 208			0	
True	65280	I17	Sample 209			0	
True	65280	I18	Sample 210			0	
True	65280	I19	Sample 211			0	
True	65280	I20	Sample 212			0	
True	65280	I21	Sample 213			0	
True	65280	I22	Sample 214			0	
True	65280	I23	Sample 215			0	
True	65280	I24	Sample 216			0	
True	65280	J1	Sample 217			0	
True	65280	J2	Sample 218			0	
True	65280	J3	Sample 219			0	
True	65280	J4	Sample 220			0	
True	65280	J5	Sample 221			0	
True	65280	J6	Sample 222			0	
True	65280	J7	Sample 223			0	
True	65280	J8	Sample 224			0	
True	65280	J9	Sample 225			0	
True	65280	J10	Sample 226			0	
True	65280	J11	Sample 227			0	
True	65280	J12	Sample 228			0	
True	65280	J13	Sample 229			0	
True	65280	J14	Sample 230			0	
True	65280	J15	Sample 231			0	
True	65280	J16	Sample 232			0	
True	65280	J17	Sample 233			0	
True	65280	J18	Sample 234			0	
True	65280	J19	Sample 235			0	
True	65280	J20	Sample 236			0	
True	65280	J21	Sample 237			0	
True	65280	J22	Sample 238			0	
True	65280	J23	Sample 239			0	
True	65280	J24	Sample 240			0	
True	65280	K1	Sample 241			0	
True	65280	K2	Sample 242			0	
True	65280	K3	Sample 243			0	
True	65280	K4	Sample 244			0	
True	65280	K5	Sample 245			0	
True	65280	K6	Sample 246			0	
True	65280	K7	Sample 247			0	
True	65280	K8	Sample 248			0	
True	65280	K9	Sample 249			0	
True	65280	K10	Sample 250			0	
True	65280	K11	Sample 251			0	
True	65280	K12	Sample 252			0	
True	65280	K13	Sample 253			0	
True	65280	K14	Sample 254			0	
True	65280	K15	Sample 255			0	
True	65280	K16	Sample 256			0	
True	65280	K17	Sample 257			0	
True	65280	K18	Sample 258			0	
True	65280	K19	Sample 259			0	
True	65280	K20	Sample 260			0	
True	65280	K21	Sample 261			0	
True	65280	K22	Sample 262			0	
True	65280	K23	Sample 263			0	
True	65280	K24	Sample 264			0	
True	65280	L1	Sample 265			0	
True	65280	L2	Sample 266			0	
True	65280	L3	Sample 267			0	
True	65280	L4	Sample 268			0	
True	65280	L5	Sample 269			0	
True	65280	L6	Sample 270			0	
True	65280	L7	Sample 271			0	
True	65280	L8	Sample 272			0	
True	65280	L9	Sample 273			0	
True	65280	L10	Sample 274			0	
True	65280	L11	Sample 275			0	
True	65280	L12	Sample 276			0	
True	65280	L13	Sample 277			0	
